user_id,event_type,timestamp
604,signup,2024-01-01
19,login,2024-01-01
19,signup,2024-01-01
63,signup,2024-01-01
589,signup,2024-01-01
589,login,2024-01-01
627,signup,2024-01-01
775,login,2024-01-01
245,signup,2024-01-01
603,signup,2024-01-01
678,signup,2024-01-01
952,signup,2024-01-01
406,signup,2024-01-01
157,login,2024-01-01
399,signup,2024-01-01
443,signup,2024-01-01
775,signup,2024-01-01
398,signup,2024-01-01
562,login,2024-01-01
5,signup,2024-01-01
352,signup,2024-01-01
749,signup,2024-01-01
157,signup,2024-01-01
770,signup,2024-01-01
170,signup,2024-01-01
562,signup,2024-01-01
514,signup,2024-01-01
984,signup,2024-01-01
203,signup,2024-01-02
936,signup,2024-01-02
406,login,2024-01-02
924,signup,2024-01-02
410,signup,2024-01-02
18,signup,2024-01-02
224,signup,2024-01-02
447,signup,2024-01-02
352,login,2024-01-02
734,signup,2024-01-02
759,signup,2024-01-02
457,signup,2024-01-02
398,login,2024-01-02
790,signup,2024-01-02
972,signup,2024-01-02
579,signup,2024-01-02
494,signup,2024-01-02
777,signup,2024-01-02
972,login,2024-01-02
5,invite_user,2024-01-02
734,login,2024-01-02
848,signup,2024-01-02
42,login,2024-01-03
889,signup,2024-01-03
385,signup,2024-01-03
878,signup,2024-01-03
604,login,2024-01-03
597,signup,2024-01-03
889,login,2024-01-03
603,login,2024-01-03
42,signup,2024-01-03
359,signup,2024-01-03
59,signup,2024-01-03
406,invite_user,2024-01-03
83,signup,2024-01-03
761,signup,2024-01-03
761,login,2024-01-03
404,signup,2024-01-03
443,login,2024-01-03
245,login,2024-01-03
447,login,2024-01-03
421,signup,2024-01-03
678,invite_user,2024-01-03
661,signup,2024-01-03
676,signup,2024-01-04
878,login,2024-01-04
798,login,2024-01-04
798,signup,2024-01-04
473,signup,2024-01-04
770,login,2024-01-04
678,login,2024-01-04
417,login,2024-01-04
417,signup,2024-01-04
597,login,2024-01-04
749,login,2024-01-04
679,signup,2024-01-04
157,create_project,2024-01-04
327,signup,2024-01-04
323,signup,2024-01-04
309,signup,2024-01-04
952,login,2024-01-04
323,invite_user,2024-01-04
325,signup,2024-01-05
399,invite_user,2024-01-05
324,signup,2024-01-05
876,signup,2024-01-05
876,login,2024-01-05
676,login,2024-01-05
410,login,2024-01-05
820,signup,2024-01-05
661,login,2024-01-05
59,invite_user,2024-01-05
589,create_project,2024-01-05
250,signup,2024-01-05
604,create_project,2024-01-05
798,invite_user,2024-01-05
924,invite_user,2024-01-05
186,login,2024-01-05
267,signup,2024-01-05
170,upload_file,2024-01-05
996,signup,2024-01-05
510,signup,2024-01-05
564,signup,2024-01-05
300,signup,2024-01-05
5,login,2024-01-05
490,signup,2024-01-05
778,signup,2024-01-05
484,login,2024-01-05
484,signup,2024-01-05
788,signup,2024-01-05
583,signup,2024-01-05
627,login,2024-01-05
68,signup,2024-01-05
184,signup,2024-01-05
186,signup,2024-01-05
882,signup,2024-01-05
971,signup,2024-01-05
11,signup,2024-01-05
359,login,2024-01-05
904,signup,2024-01-05
675,signup,2024-01-05
600,signup,2024-01-05
888,login,2024-01-05
19,create_project,2024-01-05
888,signup,2024-01-05
924,login,2024-01-05
934,signup,2024-01-05
31,signup,2024-01-05
18,login,2024-01-05
889,create_project,2024-01-05
679,invite_user,2024-01-06
321,signup,2024-01-06
20,login,2024-01-06
186,invite_user,2024-01-06
821,signup,2024-01-06
20,signup,2024-01-06
421,login,2024-01-06
583,upload_file,2024-01-06
679,login,2024-01-06
250,login,2024-01-06
198,signup,2024-01-06
848,login,2024-01-06
309,login,2024-01-06
888,create_project,2024-01-06
245,invite_user,2024-01-06
318,signup,2024-01-06
857,signup,2024-01-06
590,signup,2024-01-06
836,signup,2024-01-06
364,signup,2024-01-06
573,signup,2024-01-06
83,login,2024-01-06
92,signup,2024-01-06
267,login,2024-01-06
591,signup,2024-01-06
37,signup,2024-01-06
758,signup,2024-01-06
2,signup,2024-01-06
506,signup,2024-01-06
759,login,2024-01-06
505,signup,2024-01-06
308,signup,2024-01-06
217,login,2024-01-06
217,signup,2024-01-06
235,signup,2024-01-06
748,signup,2024-01-06
18,create_project,2024-01-07
958,signup,2024-01-07
541,login,2024-01-07
92,login,2024-01-07
718,signup,2024-01-07
